Bank Name,City,ST,CERT,Acquiring Institution,Closing date,Closing year,Closing month and date,Updated Date,Updated year ,Updated month and date 
Washington Federal Bank for Savings,Chicago,IL,30570,Royal Savings Bank,2017/12/15,2017,12/15,2018/2/21,2018,2/21
The Farmers and Merchants State Bank of Argonia,Argonia,KS,17719,Conway Bank,2017/10/13,2017,10/13,2018/2/21,2018,2/21
Fayette County Bank,Saint Elmo,IL,1802,"United Fidelity Bank, fsb",2017/5/26,2017,5/26,2017/7/26,2017,7/26
"Guaranty Bank, (d/b/a BestBank in Georgia & Michigan) ",Milwaukee,WI,30003,First-Citizens Bank & Trust Company,2017/5/5,2017,5/5,2018/3/22,2018,3/22
First NBC Bank,New Orleans,LA,58302,Whitney Bank,2017/4/28,2017,4/28,2017/12/5,2017,12/5
Proficio Bank,Cottonwood Heights,UT,35495,Cache Valley Bank,2017/3/3,2017,3/3,2018/3/7,2018,3/7
Seaway Bank and Trust Company,Chicago,IL,19328,State Bank of Texas,2017/1/27,2017,1/27,2017/5/18,2017,5/18
Harvest Community Bank,Pennsville,NJ,34951,First-Citizens Bank & Trust Company,2017/1/13,2017,1/13,2017/5/18,2017,5/18
Allied Bank,Mulberry,AR,91,Today's Bank,2016/9/23,2016,9/23,2017/9/25,2017,9/25
The Woodbury Banking Company,Woodbury,GA,11297,United Bank,2016/8/19,2016,8/19,2017/6/1,2017,6/1
First CornerStone Bank,King of Prussia,PA,35312,First-Citizens Bank & Trust Company,2016/5/6,2016,5/6,2016/9/6,2016,9/6
Trust Company Bank,Memphis,TN,9956,The Bank of Fayette County,2016/4/29,2016,4/29,2016/9/6,2016,9/6
North Milwaukee State Bank,Milwaukee,WI,20364,First-Citizens Bank & Trust Company,2016/3/11,2016,3/11,2017/3/13,2017,3/13
Hometown National Bank,Longview,WA,35156,Twin City Bank,2015/10/2,2015,10/2,2018/2/19,2018,2/19
The Bank of Georgia,Peachtree City,GA,35259,Fidelity Bank,2015/10/2,2015,10/2,2018/7/9,2018,7/9
Premier Bank,Denver,CO,34112,"United Fidelity Bank, fsb",2015/7/10,2015,7/10,2018/2/20,2018,2/20
Edgebrook Bank,Chicago,IL,57772,Republic Bank of Chicago,2015/5/8,2015,5/8,2016/7/12,2016,7/12
Doral Bank,San Juan,PR,32102,Banco Popular de Puerto Rico,2015/2/27,2015,2/27,2015/5/13,2015,5/13
Capitol City Bank & Trust Company,Atlanta,GA,33938,First-Citizens Bank & Trust Company,2015/2/13,2015,2/13,2015/4/21,2015,4/21
Highland Community Bank,Chicago,IL,20290,"United Fidelity Bank, fsb",2015/1/23,2015,1/23,2017/11/15,2017,11/15
First National Bank of Crestview ,Crestview,FL,17557,First NBC Bank,2015/1/16,2015,1/16,2017/11/15,2017,11/15
Northern Star Bank,Mankato,MN,34983,BankVista,2014/12/19,2014,12/19,2018/1/3,2018,1/3
"Frontier Bank, FSB D/B/A El Paseo Bank",Palm Desert,CA,34738,"Bank of Southern California, N.A.",2014/11/7,2014,11/7,2016/11/10,2016,11/10
The National Republic Bank of Chicago,Chicago,IL,916,State Bank of Texas,2014/10/24,2014,10/24,2016/1/6,2016,1/6
NBRS Financial,Rising Sun,MD,4862,Howard Bank,2014/10/17,2014,10/17,2018/2/19,2018,2/19
"GreenChoice Bank, fsb",Chicago,IL,28462,"Providence Bank, LLC",2014/7/25,2014,7/25,2016/12/12,2016,12/12
Eastside Commercial Bank,Conyers,GA,58125,Community & Southern Bank,2014/7/18,2014,7/18,2017/10/6,2017,10/6
The Freedom State Bank ,Freedom,OK,12483,Alva State Bank & Trust Company,2014/6/27,2014,6/27,2018/2/21,2018,2/21
Valley Bank,Fort Lauderdale,FL,21793,"Landmark Bank, National Association",2014/6/20,2014,6/20,2018/2/14,2018,2/14
Valley Bank,Moline,IL,10450,Great Southern Bank,2014/6/20,2014,6/20,2015/6/26,2015,6/26
Slavie Federal Savings Bank,Bel Air,MD,32368,"Bay Bank, FSB",2014/5/30,2014,5/30,2016/12/12,2016,12/12
Columbia Savings Bank,Cincinnati,OH,32284,"United Fidelity Bank, fsb",2014/5/23,2014,5/23,2016/11/10,2016,11/10
AztecAmerica Bank ,Berwyn,IL,57866,Republic Bank of Chicago,2014/5/16,2014,5/16,2016/10/20,2016,10/20
Allendale County Bank,Fairfax,SC,15062,Palmetto State Bank,2014/4/25,2014,4/25,2014/7/18,2014,7/18
Vantage Point Bank,Horsham,PA,58531,First Choice Bank,2014/2/28,2014,2/28,2018/1/7,2018,1/7
"Millennium Bank, National Association ",Sterling,VA,35096,WashingtonFirst Bank,2014/2/28,2014,2/28,2018/7/10,2018,7/10
Syringa Bank,Boise,ID,34296,Sunwest Bank,2014/1/31,2014,1/31,2016/4/12,2016,4/12
The Bank of Union,El Reno,OK,17967,BancFirst,2014/1/24,2014,1/24,2016/3/25,2016,3/25
DuPage National Bank,West Chicago,IL,5732,Republic Bank of Chicago,2014/1/17,2014,1/17,2016/10/20,2016,10/20
"Texas Community Bank, National Association",The Woodlands,TX,57431,"Spirit of Texas Bank, SSB",2013/12/13,2013,12/13,2018/2/13,2018,2/13
Bank of Jackson County,Graceville,FL,14794,First Federal Bank of Florida,2013/10/30,2013,10/30,2016/10/20,2016,10/20
First National Bank also operating as The National Bank of El Paso,Edinburg,TX,14318,PlainsCapital Bank,2013/9/13,2013,9/13,2015/5/27,2015,5/27
The Community's Bank,Bridgeport,CT,57041,No Acquirer,2013/9/13,2013,9/13,2015/12/7,2015,12/7
Sunrise Bank of Arizona,Phoenix,AZ,34707,"First Fidelity Bank, National Association",2013/8/23,2013,8/23,2017/5/3,2017,5/3
Community South Bank,Parsons,TN,19849,"CB&S Bank, Inc.",2013/8/23,2013,8/23,2014/9/12,2014,9/12
Bank of Wausau,Wausau,WI,35016,Nicolet National Bank,2013/8/9,2013,8/9,2018/2/21,2018,2/21
First Community Bank of Southwest Florida (also operating as Community Bank of Cape Coral),Fort Myers,FL,34943,C1 Bank,2013/8/2,2013,8/2,2017/2/9,2017,2/9
Mountain National Bank,Sevierville,TN,34789,"First Tennessee Bank, National Association",2013/6/7,2013,6/7,2016/2/4,2016,2/4
1st Commerce Bank,North Las Vegas,NV,58358,Plaza Bank,2013/6/6,2013,6/6,2013/7/12,2013,7/12
Banks of Wisconsin d/b/a Bank of Kenosha,Kenosha,WI,35386,"North Shore Bank, FSB",2013/5/31,2013,5/31,2017/5/5,2017,5/5
Central Arizona Bank,Scottsdale,AZ,34527,Western State Bank,2013/5/14,2013,5/14,2015/12/7,2015,12/7
Sunrise Bank,Valdosta,GA,58185,Synovus Bank,2013/5/10,2013,5/10,2014/6/26,2014,6/26
Pisgah Community Bank,Asheville,NC,58701,"Capital Bank, N.A.",2013/5/10,2013,5/10,2016/8/8,2016,8/8
Douglas County Bank,Douglasville,GA,21649,Hamilton State Bank,2013/4/26,2013,4/26,2014/4/25,2014,4/25
Parkway Bank,Lenoir,NC,57158,"CertusBank, National Association",2013/4/26,2013,4/26,2017/10/6,2017,10/6
Chipola Community Bank,Marianna,FL,58034,First Federal Bank of Florida,2013/4/19,2013,4/19,2015/9/21,2015,9/21
Heritage Bank of North Florida,Orange Park,FL,26680,FirstAtlantic Bank,2013/4/19,2013,4/19,2016/8/8,2016,8/8
First Federal Bank,Lexington,KY,29594,Your Community Bank,2013/4/19,2013,4/19,2016/12/12,2016,12/12
Gold Canyon Bank,Gold Canyon,AZ,58066,"First Scottsdale Bank, National Association",2013/4/5,2013,4/5,2017/10/6,2017,10/6
Frontier Bank,LaGrange,GA,16431,HeritageBank of the South,2013/3/8,2013,3/8,2017/11/13,2017,11/13
Covenant Bank,Chicago,IL,22476,Liberty Bank and Trust Company,2013/2/15,2013,2/15,2015/9/21,2015,9/21
1st Regents Bank,Andover,MN,57157,First Minnesota Bank,2013/1/18,2013,1/18,2016/7/12,2016,7/12
Westside Community Bank,University Place,WA,33997,Sunwest Bank,2013/1/11,2013,1/11,2016/8/8,2016,8/8
Community Bank of the Ozarks,Sunrise Beach,MO,27331,Bank of Sullivan,2012/12/14,2012,12/14,2014/4/4,2014,4/4
Hometown Community Bank,Braselton,GA,57928,"CertusBank, National Association",2012/11/16,2012,11/16,2017/10/6,2017,10/6
Citizens First National Bank,Princeton,IL,3731,Heartland Bank and Trust Company,2012/11/2,2012,11/2,2018/2/13,2018,2/13
Heritage Bank of Florida,Lutz,FL,35009,Centennial Bank,2012/11/2,2012,11/2,2014/3/21,2014,3/21
